tab	measurements
measurement	experiment	specimen	dir_csd	dir_dec	dir_inc	treat_ac_field	treat_dc_field	treat_dc_field_phi	treat_dc_field_theta	treat_step_num	treat_temp	citations	instrument_codes	method_codes	quality	sequence	standard	meas_n_orient	meas_temp	analysts	description	software_packages	magn_moment	magn_x_sigma	magn_y_sigma	magn_z_sigma	sample	site	location
DA2-1d_LP-DIR-AF-1	DA2-1d_LP-DIR-AF	DA2-1d	0.1	64.5	-51.8	0.0	0	0.0	0.0	0	273	This study	IRM_2G 2022-06-10 12:00:00	LT-NO:LP-DIR-AF	b	1	u	8	273			pmagpy-4.2.24-1	2.03e-08	1e-08	1e-08	1e-08	DA2-1d	DA2	Duluth
DA2-1d_LP-DIR-AF-2	DA2-1d_LP-DIR-AF	DA2-1d	0.1	64.4	-51.8	0.0	0	0.0	0.0	1	273	This study	IRM_2G 2022-06-10 12:00:00	LT-NO:LP-DIR-AF	b	2	u	8	273			pmagpy-4.2.24-1	2.03e-08	1e-08	1e-08	1e-08	DA2-1d	DA2	Duluth
DA2-1d_LP-DIR-AF-3	DA2-1d_LP-DIR-AF	DA2-1d	0.1	64.4	-51.8	0.0	0	0.0	0.0	2	273	This study	IRM_2G 2022-06-10 12:00:00	LT-NO:LP-DIR-AF	b	3	u	8	273			pmagpy-4.2.24-1	2.03e-08	1e-08	1e-08	1e-08	DA2-1d	DA2	Duluth
DA2-1d_LP-DIR-AF-4	DA2-1d_LP-DIR-AF	DA2-1d	0.1	64.4	-51.8	0.0	0	0.0	0.0	3	273	This study	IRM_2G 2022-06-10 12:00:00	LT-NO:LP-DIR-AF	g	4	u	8	273			pmagpy-4.2.24-1	2.03e-08	1e-08	1e-08	1e-08	DA2-1d	DA2	Duluth
DA2-1d_LP-DIR-AF-5	DA2-1d_LP-DIR-AF	DA2-1d	0.1	64.5	-51.8	0.0025	0	0.0	0.0	4	273	This study	IRM_2G 2022-06-10 12:00:00	LT-AF-Z:LP-DIR-AF	g	5	u	8	273			pmagpy-4.2.24-1	2.02e-08	1e-08	1e-08	1e-08	DA2-1d	DA2	Duluth
DA2-1d_LP-DIR-AF-6	DA2-1d_LP-DIR-AF	DA2-1d	0.1	64.6	-51.7	0.003	0	0.0	0.0	5	273	This study	IRM_2G 2022-06-10 12:00:00	LT-AF-Z:LP-DIR-AF	g	6	u	8	273			pmagpy-4.2.24-1	2.02e-08	1e-08	1e-08	1e-08	DA2-1d	DA2	Duluth
DA2-1d_LP-DIR-AF-7	DA2-1d_LP-DIR-AF	DA2-1d	0.1	64.6	-51.6	0.004	0	0.0	0.0	6	273	This study	IRM_2G 2022-06-10 12:00:00	LT-AF-Z:LP-DIR-AF	g	7	u	8	273			pmagpy-4.2.24-1	1.99e-08	1e-08	1e-08	1e-08	DA2-1d	DA2	Duluth
DA2-1d_LP-DIR-AF-8	DA2-1d_LP-DIR-AF	DA2-1d	0.1	64.6	-51.4	0.005	0	0.0	0.0	7	273	This study	IRM_2G 2022-06-10 12:00:00	LT-AF-Z:LP-DIR-AF	g	8	u	8	273			pmagpy-4.2.24-1	1.96e-08	1e-08	1e-08	1e-08	DA2-1d	DA2	Duluth
DA2-1d_LP-DIR-AF-9	DA2-1d_LP-DIR-AF	DA2-1d	0.1	64.6	-51.1	0.006	0	0.0	0.0	8	273	This study	IRM_2G 2022-06-10 12:00:00	LT-AF-Z:LP-DIR-AF	g	9	u	8	273			pmagpy-4.2.24-1	1.9e-08	1e-08	1e-08	1e-08	DA2-1d	DA2	Duluth
DA2-1d_LP-DIR-AF-10	DA2-1d_LP-DIR-AF	DA2-1d	0.1	64.6	-50.5	0.006999999999999999	0	0.0	0.0	9	273	This study	IRM_2G 2022-06-10 12:00:00	LT-AF-Z:LP-DIR-AF	g	10	u	8	273			pmagpy-4.2.24-1	1.82e-08	1e-08	1e-08	1e-08	DA2-1d	DA2	Duluth
